Author;Date;Content;Attachments;
"⧉infominer#2551";"25-Aug-18 10:29 PM";"https://twitter.com/patmillertime/status/1020742512112095233";"";
"⧉infominer#2551";"25-Aug-18 10:29 PM";"https://twitter.com/NickSzabo4/status/846492284036145152";"";
"⧉infominer#2551";"25-Aug-18 10:30 PM";"https://www.coindesk.com/the-code-for-an-anonymous-lightning-network-is-now-live/";"";
"⧉infominer#2551";"25-Aug-18 10:30 PM";"____________________________________
https://medium.com/coinmonks/the-lightning-network-how-to-install-and-hopefully-make-money-6e3058e3fa
-----------------------------------------------";"";
"⧉infominer#2551";"25-Aug-18 10:30 PM";"https://medium.com/@stadicus/perfect-low-cost-%EF%B8%8Flightning%EF%B8%8F-node-4c2f42a4ff7b";"";
"⧉infominer#2551";"25-Aug-18 10:31 PM";"https://medium.com/@timevalueofbtc/the-bitcoin-second-layer-d503949d0a06";"";
"⧉infominer#2551";"25-Aug-18 10:31 PM";"http://lightningnetworkstores.com/";"";
"⧉infominer#2551";"25-Aug-18 10:32 PM";"https://github.com/bcongdon/awesome-lightning-network";"";
"⧉infominer#2551";"25-Aug-18 10:32 PM";"v";"";
"⧉infominer#2551";"25-Aug-18 10:32 PM";"https://lnroute.com/   — Lightning Network resources(edited)
https://dev.lightning.community/resources/";"";
"⧉infominer#2551";"28-Aug-18 03:51 PM";"https://coincenter.org/entry/making-sense-of-lightning-network-nodes-and-money-transmission-licensing";"";
"⧉infominer#2551";"30-Aug-18 07:08 PM";"https://twitter.com/danheld/status/1033044447842336768";"";
"⧉infominer#2551";"30-Aug-18 07:46 PM";"https://the-lightning-times.ongoodbits.com/2018/08/27/issue-2";"";
"⧉infominer#2551";"04-Sep-18 12:27 AM";"https://twitter.com/fulmolightning/status/1035183579196743680";"";
"⧉infominer#2551";"04-Sep-18 09:28 PM";"https://store.casa/lightning-node/";"";
"⧉infominer#2551";"13-Sep-18 09:10 AM";"https://blog.lightning.engineering/posts/2018/05/30/routing.html";"";
"⧉infominer#2551";"17-Sep-18 12:07 AM";"https://twitter.com/stephanlivera/status/1028079725460111360";"";
"⧉infominer#2551";"17-Sep-18 12:15 AM";"https://medium.com/casa/announcing-the-casa-lightning-node-596df7a7427";"";
"⧉infominer#2551";"23-Sep-18 12:47 AM";"https://twitter.com/Ragnarly/status/1039113181023490050";"";
"⧉infominer#2551";"23-Sep-18 12:49 AM";"https://zigzag.io/#/";"";
"⧉infominer#2551";"30-Sep-18 11:25 PM";"https://nbitstack.com/c/btcpayserver";"";
"⧉infominer#2551";"30-Sep-18 11:31 PM";"https://github.com/Stadicus/guides/blob/master/raspibolt/README.md";"";
"⧉infominer#2551";"12-Oct-18 01:00 PM";"https://www.forbes.com/sites/francescoppola/2018/10/11/blockstreams-new-solution-to-bitcoins-liquidity-problem-looks-oddly-familiar/#3484b491e51a";"";
"⧉infominer#2551";"04-Nov-18 01:32 PM";"https://bitcoinmagazine.com/articles/blockstreams-liquid-network-high-value-bitcoin-payments-live/";"";
"⧉infominer#2551";"09-Dec-18 03:28 AM";"https://twitter.com/Beautyon_/status/1062100915925213185";"";
"⧉infominer#2551";"23-Dec-18 01:55 AM";"https://shea.io/lightning-in-2018";"";
"⧉infominer#2551";"23-Dec-18 02:56 AM";"https://twitter.com/JWWeatherman_/status/1069232488604729344";"";
"⧉infominer#2551";"23-Dec-18 03:21 AM";"https://stephanlivera.com/episode/37";"";
"⧉infominer#2551";"23-Dec-18 06:00 AM";"https://bitcoinshirt.co/how-to-create-store-accept-bitcoin";"";
"⧉infominer#2551";"24-Dec-18 12:58 AM";"https://www.coindesk.com/blockstream-boosts-bitcoin-satellite-service-with-lightning-payments";"";
"⧉infominer#2551";"24-Dec-18 01:14 AM";"https://medium.com/@melik_87377/lightning-network-enables-unicast-transactions-in-bitcoin-lightning-is-bitcoins-tcp-ip-stack-8ec1d42c14f5";"";
"⧉infominer#2551";"24-Dec-18 01:16 AM";"https://twitter.com/realLudvigArt/status/1037592389529919488";"";
"⧉infominer#2551";"25-Dec-18 02:05 PM";"https://twitter.com/sdlerner/status/1075506026114371584?s=12";"";
"⧉infominer#2551";"23-Jan-19 12:36 AM";"https://medium.com/lightning-power-users/bitcoin-lightning-joule-chrome-extension-ac149bb05cb9";"";
"⧉infominer#2551";"05-Feb-19 06:45 PM";"https://www.scipioerp.com/2018/12/12/is-lightning-ready-for-commerce/";"";
"⧉infominer#2551";"12-Feb-19 04:29 PM";"https://twitter.com/alexbosworth/status/1078353292768403456";"";
"⧉infominer#2551";"12-Feb-19 04:29 PM";"https://twitter.com/timevalueofbtc/status/1078337607493332992";"";
"⧉infominer#2551";"12-Feb-19 04:33 PM";"https://lists.linuxfoundation.org/pipermail/lightning-dev/2018-December/001752.html";"";
"⧉infominer#2551";"12-Feb-19 05:22 PM";"https://twitter.com/vandrewattycpa/status/1079471260978040833";"";
"⧉infominer#2551";"12-Feb-19 05:23 PM";"https://lightninglayer.com/";"";
